College Name,Course,Department,Annual Fees (INR),Duration,Seats,Cutoff Score,Eligibility,Admission Deadline
Hindustan Institute of Technology and Science (HITS),B.Tech Aeronautical Engineering,Aeronautical Engineering,400000,4 years,,PCM 70-85%: 365000 | PCM 85.5%+: 340000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Aerospace Engineering,Aerospace Engineering,400000,4 years,,PCM 70-85%: 365000 | PCM 85.5%+: 340000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Computer Science Engineering,CSE,292000,4 years,,PCM 70-85%: 260000 | PCM 85.5%+: 237000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech AI & Data Science,CSE,292000,4 years,,PCM 70-85%: 260000 | PCM 85.5%+: 237000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Information Technology,CSE,292000,4 years,,PCM 70-85%: 260000 | PCM 85.5%+: 237000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (AI & ML) with IBM,CSE,346000,4 years,,PCM 70-85%: 313000 | PCM 85.5%+: 290000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Cyber Security) with IBM,CSE,346000,4 years,,PCM 70-85%: 313000 | PCM 85.5%+: 290000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE IoT/Blockchain/CCV with IBM,CSE,346000,4 years,,PCM 70-85%: 313000 | PCM 85.5%+: 290000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Gen AI) with Google,CSE,320000,4 years,,PCM 70-85%: 290000 | PCM 85.5%+: 271000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Cloud Security) with Google,CSE,320000,4 years,,PCM 70-85%: 290000 | PCM 85.5%+: 271000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Full Stack Development) with Collegedekho,CSE,360000,4 years,,PCM 70-85%: 325000 | PCM 85.5%+: 300000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Auto-Electric Mobility (GARC),Automobile Engineering,305500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Automobile Engineering,Automobile Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Civil Engineering,Civil Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Bio-Technology & Specialization,Biotechnology,191500,4 years,,,10+2 with Maths and Physics/Biology,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech EEE (AI / EV Tech / Batteries & Energy Storage),Electrical Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech ECE (EMT / Data Science / Semiconductor Tech),Electronics Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Mechanical Engineering,Mechanical Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Mechatronics Engineering,Mechanical Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Biomedical Engineering,Biomedical Engineering,191500,4 years,,,10+2 with Maths and Physics/Biology,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Robotics & Artificial Intelligence,CSE,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Arch,Architecture,191500,5 years,,,10+2 with Maths,2026-27
